Exporter,Product,SailDate,20',40',TEUS,QTY.(KGS)
A.M.FISHERIES,FROZEN MARINE FOODS,26-05-2022,0,2,4,52000
A.M.FISHERIES,FROZEN RIBBON FISH,02-12-2022,0,1,2,28000
A.M.FISHERIES,FROZEN RIBBON FISH,04-12-2022,0,3,6,84000
A.M.FISHERIES,FROZEN RIBBON FISH,27-12-2022,0,2,4,56000
A.M.FISHERIES,FROZEN RIBBON FISH,07-12-2022,0,1,2,28000
A.M.FISHERIES,FROZEN RIBBON FISH,17-12-2022,0,2,4,56000
A.M.FISHERIES,FROZEN RIBBON FISH,11-12-2022,0,1,2,28000
A.M.FISHERIES,FROZEN SHRIMPS,07-02-2022,0,1,2,24150
A.M.FISHERIES,FROZEN SHRIMPS,27-04-2022,0,1,2,24500
A.M.FISHERIES,FROZEN SHRIMPS,28-03-2022,0,1,2,23500
A.M.FISHERIES,FROZEN SHRIMPS,12-02-2022,0,1,2,22000
A.M.FISHERIES,FROZEN YELLOW TUNA,29-04-2022,0,1,2,28000
TOTAL                                   ,                              ,          ,0,146,292,3724210
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,09-07-2022,0,0,0,504
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,02-07-2022,1,0,1,10213
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,01-08-2022,1,0,1,11901
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,27-01-2022,0,1,2,17200
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,02-10-2022,1,0,1,9541
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,24-10-2022,1,0,1,11561
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,09-11-2022,1,0,1,5053
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,28-12-2022,1,0,1,5003
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,18-10-2022,1,0,1,9799
