Exporter,Product,SailDate,20',40',TEUS,QTY.(KGS)
TOTAL                                   ,                              ,          ,7,1,9,80775
A.N.EXPORTS,COTTON GARMENTS,15-11-2022,0,0,0,1250
A.N.EXPORTS,SPARES,30-04-2022,0,0,0,1250
TOTAL                                   ,                              ,          ,0,0,0,2500
A.N.G. OVERSEAS,RICE,28-03-2022,1,0,1,24000
TOTAL                                   ,                              ,          ,1,0,1,24000
A.N.P.APPARELS,COTTON GARMENTS,06-06-2022,0,1,2,1271
A.N.P.APPARELS,COTTON GARMENTS,02-01-2022,0,1,2,6117
A.N.P.APPARELS,COTTON GARMENTS,17-03-2022,0,1,2,5381
A.N.P.APPARELS,COTTON GARMENTS,17-06-2022,0,2,4,17370
A.N.P.APPARELS,COTTON GARMENTS,28-04-2022,0,1,2,11692
A.N.P.APPARELS,COTTON GARMENTS,05-05-2022,0,1,2,8889
A.N.P.APPARELS,COTTON GARMENTS,23-10-2022,0,2,4,16326
A.N.P.APPARELS,COTTON GARMENTS,30-08-2022,0,2,4,24709
A.N.P.APPARELS,COTTON GOODS,23-05-2022,2,1,4,18394
A.N.P.APPARELS,COTTON GOODS,26-07-2022,0,1,2,7870
A.N.P.APPARELS,COTTON GOODS,24-08-2022,0,0,0,508
A.N.P.APPARELS,COTTON GOODS,28-04-2022,0,1,2,5734
TOTAL                                   ,                              ,          ,2,14,30,124261
A.P.D.EXPORTS,COTTON GARMENTS,21-01-2022,0,1,2,3247
A.P.D.EXPORTS,COTTON GARMENTS,07-03-2022,2,0,2,7887
A.P.D.EXPORTS,COTTON GARMENTS,04-10-2022,0,0,0,1179
A.P.D.EXPORTS,COTTON GOODS,20-09-2022,1,0,1,2771
A.P.D.EXPORTS,COTTON GOODS,12-07-2022,1,0,1,4566
A.P.D.EXPORTS,COTTON GOODS,25-01-2022,1,0,1,2873
A.P.D.EXPORTS,COTTON GOODS,22-02-2022,0,0,0,645
A.P.D.EXPORTS,COTTON GOODS,17-03-2022,0,0,0,714
A.P.D.EXPORTS,COTTON GOODS,03-09-2022,0,0,0,2486
TOTAL                                   ,                              ,          ,5,1,7,26368
A.P.ENGINEERS,AIR COMPRESSORS,02-08-2022,0,1,2,12070
A.P.ENGINEERS,MACHINERIES,04-10-2022,0,1,2,6870
TOTAL                                   ,                              ,          ,0,2,4,18940
A.R. EXPORTERS & IMPORTERS,COCONUTS,27-05-2022,0,1,2,27750
TOTAL                                   ,                              ,          ,0,1,2,27750
A.R.AGENCIES,PAPER CUP,07-03-2022,0,1,2,8034
TOTAL                                   ,                              ,          ,0,1,2,8034
A.R.MACHINERIES,MACHINERIES,05-09-2022,1,0,1,4616
TOTAL                                   ,                              ,          ,1,0,1,4616
A.S.ABOOBACKER EXPORTS,COCONUTS,27-03-2022,2,0,2,28000
TOTAL                                   ,                              ,          ,2,0,2,28000
A.S.M.KNITS,COTTON GARMENTS,25-12-2022,0,0,0,337
TOTAL                                   ,                              ,          ,0,0,0,337
A.S.MARINE INDUSTRIES P.LTD.,FROZEN FISH,20-09-2022,0,1,2,27500
A.S.MARINE INDUSTRIES P.LTD.,FROZEN FISH,20-09-2022,0,1,2,27900
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,02-05-2022,0,1,2,27990
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,20-04-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,11-03-2022,0,1,2,27990
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,11-06-2022,0,2,4,52000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,21-12-2022,0,2,4,52000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,03-04-2022,0,1,2,27990
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,03-09-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,30-05-2022,0,1,2,28000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,28-08-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,16-10-2022,0,1,2,28000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,12-02-2022,0,1,2,27000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,29-09-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,22-10-2022,0,1,2,27900
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,29-10-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,14-11-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,19-11-2022,0,1,2,28000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,25-11-2022,0,1,2,28080
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,17-08-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,06-09-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,11-10-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,18-10-2022,0,3,6,78000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,01-11-2022,0,2,4,53960
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,03-09-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,25-08-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,17-09-2022,0,1,2,25000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,01-11-2022,0,1,2,27560
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,16-01-2022,0,4,8,110000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,07-02-2022,0,2,4,55000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,25-02-2022,0,3,6,83500
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,17-09-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,05-11-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,17-12-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,28-10-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,19-11-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,09-03-2022,0,2,4,57000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,07-09-2022,0,1,2,27900
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,20-06-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,24-09-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,09-10-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,12-09-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN OCTOPUS,13-07-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN OCTOPUS,20-09-2022,0,1,2,26900
A.S.MARINE INDUSTRIES P.LTD.,FROZEN RIBBON FISH,21-10-2022,0,2,4,52000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN RIBBON FISH,05-11-2022,0,1,2,27000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN RIBBON FISH,27-12-2022,0,1,2,28000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN RIBBON FISH,15-11-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN RIBBON FISH,09-10-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN RIBBON FISH,31-12-2022,0,1,2,28000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,27-05-2022,0,1,2,27000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,23-11-2022,0,1,2,28000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,24-08-2022,0,1,2,26000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,10-01-2022,0,2,4,55000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,22-01-2022,0,2,4,55000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,23-03-2022,0,3,6,81000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,12-04-2022,0,2,4,56000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,17-04-2022,0,2,4,57000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,04-05-2022,0,2,4,56000
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,31-12-2022,0,3,6,85500
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,12-05-2022,0,1,2,28000
TOTAL                                   ,                              ,          ,0,83,166,2242670
A.S.P. & SON ENTERPRISES P.LTD.,COCONUT OIL,10-05-2022,1,0,1,12748
TOTAL                                   ,                              ,          ,1,0,1,12748
A.S.TRADERS,BANANA,08-03-2022,0,1,2,20790
TOTAL                                   ,                              ,          ,0,1,2,20790
A.TOSH ISHIMITSU BEVERAGESINDIA P.LTD.,TEA,27-07-2022,1,0,1,3696
A.TOSH ISHIMITSU BEVERAGESINDIA P.LTD.,TEA,06-09-2022,1,0,1,3628
A.TOSH ISHIMITSU BEVERAGESINDIA P.LTD.,TEA,16-08-2022,1,0,1,3696
TOTAL                                   ,                              ,          ,3,0,3,11020
A.V.EXPORTS,COIR FIBER,07-10-2022,0,6,12,128330
TOTAL                                   ,                              ,          ,0,6,12,128330
A.V.FASHION,COTTON GARMENTS,02-01-2022,0,0,0,1382
A.V.FASHION,COTTON GARMENTS,30-06-2022,0,0,0,2282
TOTAL                                   ,                              ,          ,0,0,0,3664
A.V.FOODS,FOOD STUFFS,10-01-2022,1,0,1,3367
TOTAL                                   ,                              ,          ,1,0,1,3367
A.V.THOMAS & CO. LTD.,CARDAMOM,04-01-2022,1,0,1,8000
A.V.THOMAS & CO. LTD.,CARDAMOM,14-04-2022,1,0,1,8000
A.V.THOMAS & CO. LTD.,CARDAMOM,29-11-2022,1,0,1,8000
A.V.THOMAS & CO. LTD.,CARDAMOM,30-05-2022,1,0,1,8440
A.V.THOMAS & CO. LTD.,TEA,25-11-2022,1,0,1,7488
A.V.THOMAS & CO. LTD.,TEA,07-03-2022,0,1,2,15497
A.V.THOMAS & CO. LTD.,TEA,19-04-2022,0,1,2,14276
A.V.THOMAS & CO. LTD.,TEA,04-05-2022,0,1,2,15805
A.V.THOMAS & CO. LTD.,TEA,03-09-2022,0,1,2,15976
A.V.THOMAS & CO. LTD.,TEA,20-09-2022,0,1,2,16177
A.V.THOMAS & CO. LTD.,TEA,11-10-2022,0,1,2,16848
A.V.THOMAS & CO. LTD.,TEA,29-10-2022,0,1,2,17270
A.V.THOMAS & CO. LTD.,TEA,12-11-2022,0,1,2,14844
A.V.THOMAS & CO. LTD.,TEA,02-12-2022,0,1,2,16326
A.V.THOMAS & CO. LTD.,TEA,24-06-2022,0,1,2,13650
A.V.THOMAS & CO. LTD.,TEA,25-11-2022,0,1,2,10152
A.V.THOMAS & CO. LTD.,TEA,18-12-2022,0,1,2,11780
A.V.THOMAS & CO. LTD.,TEA,28-03-2022,1,0,1,6774
A.V.THOMAS & CO. LTD.,TEA,29-10-2022,1,0,1,7066
A.V.THOMAS & CO. LTD.,TEA,30-05-2022,1,0,1,4992
A.V.THOMAS & CO. LTD.,TEA,18-07-2022,1,0,1,5196
A.V.THOMAS & CO. LTD.,TEA,19-09-2022,0,1,2,17096
A.V.THOMAS & CO. LTD.,TEA,05-12-2022,0,1,2,15531
A.V.THOMAS & CO. LTD.,TEA,08-11-2022,0,1,2,13470
A.V.THOMAS & CO. LTD.,TEA,04-10-2022,1,0,1,8609
A.V.THOMAS & CO. LTD.,TEA,02-05-2022,1,0,1,7878
A.V.THOMAS & CO. LTD.,TEA,05-07-2022,1,0,1,6327
TOTAL                                   ,                              ,          ,12,15,42,311468
A2A SUPPLIERS,FOOD STUFFS,11-02-2022,1,0,1,26000
TOTAL                                   ,                              ,          ,1,0,1,26000
AADHAVA APPARELS,COTTON GOODS,20-02-2022,0,1,2,4516
TOTAL                                   ,                              ,          ,0,1,2,4516
AADHYA INGREDIENTS,TURMERIC,01-08-2022,1,0,1,18000
AADHYA INGREDIENTS,TURMERIC POWDER,07-08-2022,0,1,2,25000
TOTAL                                   ,                              ,          ,1,1,3,43000
AADISH EXIM,PLYWOOD,17-03-2022,2,0,2,32670
AADISH EXIM,PLYWOOD,27-03-2022,0,2,4,53860
AADISH EXIM,PLYWOOD,19-04-2022,5,0,5,67800
AADISH EXIM,PLYWOOD,30-05-2022,0,1,2,26580
AADISH EXIM,PLYWOOD,20-06-2022,4,0,4,62300
AADISH EXIM,PLYWOOD,27-09-2022,0,2,4,55000
AADISH EXIM,PLYWOOD,30-10-2022,0,1,2,27980
AADISH EXIM,PLYWOOD,01-11-2022,0,1,2,28000
AADISH EXIM,PLYWOOD,21-10-2022,0,4,8,105600
TOTAL                                   ,                              ,          ,11,11,33,459790
AADRICS AGRO,RICE,10-05-2022,1,0,1,24000
TOTAL                                   ,                              ,          ,1,0,1,24000
AAHANA INTERNATIOAL LLP,COTTON GARMENTS,14-06-2022,0,1,2,4725
TOTAL                                   ,                              ,          ,0,1,2,4725
AALIYA EXPORTS,SPICES,30-04-2022,1,0,1,5102
TOTAL                                   ,                              ,          ,1,0,1,5102
AANCHAL ENTERPRISES,PLYWOOD,10-11-2022,0,4,8,112834
AANCHAL ENTERPRISES,PLYWOOD,10-06-2022,0,1,2,28476
AANCHAL ENTERPRISES,PLYWOOD,10-07-2022,0,4,8,111659
AANCHAL ENTERPRISES,PLYWOOD,30-07-2022,0,2,4,56813
AANCHAL ENTERPRISES,PLYWOOD,02-01-2022,0,2,4,56650
AANCHAL ENTERPRISES,PLYWOOD,16-01-2022,0,1,2,28376
AANCHAL ENTERPRISES,PLYWOOD,02-02-2022,0,3,6,85704
AANCHAL ENTERPRISES,PLYWOOD,16-02-2022,0,1,2,28462
AANCHAL ENTERPRISES,PLYWOOD,07-02-2022,0,1,2,28468
AANCHAL ENTERPRISES,PLYWOOD,20-05-2022,0,2,4,55000
AANCHAL ENTERPRISES,PLYWOOD,15-05-2022,0,2,4,56000
AANCHAL ENTERPRISES,PLYWOOD,20-05-2022,0,2,4,56042
AANCHAL ENTERPRISES,PLYWOOD,05-06-2022,0,2,4,56388
AANCHAL ENTERPRISES,PLYWOOD,26-06-2022,0,1,2,28455
AANCHAL ENTERPRISES,PLYWOOD,08-08-2022,0,3,6,84547
AANCHAL ENTERPRISES,PLYWOOD,05-09-2022,0,3,6,84000
AANCHAL ENTERPRISES,PLYWOOD,02-10-2022,0,3,6,83780
AANCHAL ENTERPRISES,PLYWOOD,16-05-2022,5,0,5,75000
AANCHAL ENTERPRISES,PLYWOOD,30-07-2022,0,1,2,28462
TOTAL                                   ,                              ,          ,5,38,81,1145116
AARA TEX,COTTON GARMENTS,11-02-2022,0,0,0,557
AARA TEX,COTTON GARMENTS,10-07-2022,0,1,2,1193
AARA TEX,COTTON GARMENTS,07-08-2022,0,0,0,989
AARA TEX,COTTON GARMENTS,27-11-2022,0,0,0,707
AARA TEX,COTTON GARMENTS,22-06-2022,0,0,0,615
AARA TEX,COTTON GOODS,18-12-2022,0,1,2,8886
TOTAL                                   ,                              ,          ,0,2,4,12947
AARABHI EXPORTS,FOOD STUFFS,19-01-2022,0,1,2,18760
AARABHI EXPORTS,FOOD STUFFS,02-07-2022,1,0,1,14160
AARABHI EXPORTS,FOOD STUFFS,16-10-2022,0,1,2,26000
AARABHI EXPORTS,FOOD STUFFS,15-06-2022,1,0,1,13114
AARABHI EXPORTS,FOOD STUFFS,17-09-2022,1,0,1,15490
AARABHI EXPORTS,FOOD STUFFS,31-12-2022,1,0,1,15000
AARABHI EXPORTS,FOOD STUFFS,23-05-2022,2,0,2,46000
AARABHI EXPORTS,KITCHEN ITEMS,17-09-2022,0,0,0,500
AARABHI EXPORTS,PICKLES,03-03-2022,1,0,1,18890
AARABHI EXPORTS,RICE,13-07-2022,1,0,1,25000
AARABHI EXPORTS,RICE,30-05-2022,1,0,1,20918
AARABHI EXPORTS,RICE,05-07-2022,1,0,1,24000
TOTAL                                   ,                              ,          ,10,2,14,237832
AARCA,COTTON GARMENTS,11-02-2022,0,1,2,1243
TOTAL                                   ,                              ,          ,0,1,2,1243
AARESS EXPORTS,COTTON GARMENTS,10-01-2022,1,0,1,3969
AARESS EXPORTS,COTTON GARMENTS,01-03-2022,0,0,0,2976
AARESS EXPORTS,COTTON GARMENTS,06-06-2022,0,0,0,2810
AARESS EXPORTS,COTTON GARMENTS,30-06-2022,1,0,1,2817
AARESS EXPORTS,COTTON GARMENTS,10-10-2022,1,0,1,3327
AARESS EXPORTS,COTTON GARMENTS,23-10-2022,1,0,1,2993
AARESS EXPORTS,COTTON GOODS,20-02-2022,1,0,1,3105
AARESS EXPORTS,COTTON GOODS,28-04-2022,1,0,1,4535
AARESS EXPORTS,COTTON GOODS,23-05-2022,0,1,2,2560
AARESS EXPORTS,COTTON GOODS,20-11-2022,0,0,0,2374
TOTAL                                   ,                              ,          ,6,1,8,31466
AARNI IMPEX,COTTON GARMENTS,05-05-2022,0,0,0,4147
AARNI IMPEX,COTTON GARMENTS,02-01-2022,0,1,2,6162
TOTAL                                   ,                              ,          ,0,1,2,10309
AARON AGENCIES,ALUMINIUM & STEEL UTENSILS,01-11-2022,0,1,2,8497
AARON AGENCIES,SAND BLAST POT,07-03-2022,0,1,2,7861
TOTAL                                   ,                              ,          ,0,2,4,16358
AARSHAVEDA WELLNESS PVT LTD,AYURVEDIC PRODUCTS,17-12-2022,0,0,0,864
AARSHAVEDA WELLNESS PVT LTD,AYURVEDIC PRODUCTS,11-09-2022,0,0,0,2318
TOTAL                                   ,                              ,          ,0,0,0,3182
AARTHIA IMPEX,COTTON GOODS,30-06-2022,0,0,0,300
TOTAL                                   ,                              ,          ,0,0,0,300
AARTHIYAN AGRO,COCONUTS,27-03-2022,0,1,2,28500
TOTAL                                   ,                              ,          ,0,1,2,28500
AAS EXPORTS,COCONUTS,18-07-2022,0,1,2,28500
TOTAL                                   ,                              ,          ,0,1,2,28500
AASEERVAA  FABRICS,COTTON GARMENTS,06-03-2022,0,1,2,10900
AASEERVAA  FABRICS,COTTON GARMENTS,20-05-2022,0,0,0,2486
AASEERVAA  FABRICS,COTTON GARMENTS,07-08-2022,0,2,4,4919
AASEERVAA  FABRICS,COTTON GARMENTS,06-06-2022,0,1,2,2902
AASEERVAA  FABRICS,COTTON GARMENTS,17-06-2022,1,0,1,1047
AASEERVAA  FABRICS,COTTON GARMENTS,22-06-2022,0,1,2,3266
AASEERVAA  FABRICS,COTTON GOODS,30-08-2022,0,0,0,1946
AASEERVAA  FABRICS,COTTON GOODS,17-10-2022,0,1,2,3873
AASEERVAA  FABRICS,COTTON GOODS,18-12-2022,1,0,1,12267
AASEERVAA  FABRICS,COTTON GOODS,25-12-2022,0,0,0,976
AASEERVAA  FABRICS,COTTON GOODS,17-03-2022,0,1,2,13635
TOTAL                                   ,                              ,          ,2,7,16,58217
AASHA BIOCHEM,FISH OIL,16-02-2022,0,0,0,252
TOTAL                                   ,                              ,          ,0,0,0,252
AASTI MEDITECH P.LTD.,MEDICAL EQUIPMENTS,17-04-2022,0,0,0,349
TOTAL                                   ,                              ,          ,0,0,0,349
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,01-02-2022,0,0,0,1173
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,11-02-2022,0,0,0,1092
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,22-02-2022,0,0,0,649
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,10-12-2022,0,0,0,537
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,15-11-2022,0,0,0,405
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,19-11-2022,0,0,0,185
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,04-12-2022,0,0,0,309
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,19-12-2022,0,0,0,708
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,16-01-2022,0,0,0,494
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,23-01-2022,0,0,0,431
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,30-01-2022,0,0,0,2010
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,22-08-2022,0,0,0,212
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,29-09-2022,0,0,0,158
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,21-07-2022,0,1,2,7200
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,25-05-2022,0,0,0,88
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,02-07-2022,0,0,0,422
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,21-11-2022,0,0,0,544
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,29-11-2022,0,0,0,132
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,15-12-2022,0,0,0,183
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,26-12-2022,0,0,0,259
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,19-04-2022,0,0,0,181
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,21-07-2022,1,0,1,1199
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,15-11-2022,0,1,2,7200
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,06-12-2022,0,2,4,14400
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,10-11-2022,0,0,0,188
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,29-11-2022,0,0,0,140
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,15-12-2022,0,0,0,721
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,26-12-2022,0,0,0,238
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,02-08-2022,0,1,2,7200
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,25-10-2022,0,0,0,156
TOTAL                                   ,                              ,          ,1,5,11,48814
AAURAM FASHIONS,COTTON GOODS,10-04-2022,0,1,2,3306
TOTAL                                   ,                              ,          ,0,1,2,3306
AAYDEE EXPORTS P.LTD.,COTTON YARN,16-04-2022,0,1,2,20933
AAYDEE EXPORTS P.LTD.,COTTON YARN,28-04-2022,0,1,2,21200
AAYDEE EXPORTS P.LTD.,COTTON YARN,23-05-2022,0,1,2,21280
AAYDEE EXPORTS P.LTD.,COTTON YARN,17-06-2022,0,1,2,22500
AAYDEE EXPORTS P.LTD.,COTTON YARN,30-06-2022,0,1,2,22000
AAYDEE EXPORTS P.LTD.,COTTON YARN,14-08-2022,0,1,2,21110
AAYDEE EXPORTS P.LTD.,COTTON YARN,06-06-2022,0,1,2,22120
AAYDEE EXPORTS P.LTD.,COTTON YARN,20-07-2022,0,1,2,21186
AAYDEE EXPORTS P.LTD.,COTTON YARN,30-08-2022,0,1,2,21422
AAYDEE EXPORTS P.LTD.,COTTON YARN,10-10-2022,0,1,2,21110
AAYDEE EXPORTS P.LTD.,COTTON YARN,06-11-2022,0,1,2,21805
AAYDEE EXPORTS P.LTD.,COTTON YARN,11-01-2022,0,1,2,26880
AAYDEE EXPORTS P.LTD.,COTTON YARN,28-03-2022,0,1,2,26880
AAYDEE EXPORTS P.LTD.,COTTON YARN,17-04-2022,0,1,2,26880
AAYDEE EXPORTS P.LTD.,COTTON YARN,02-05-2022,0,1,2,26880
TOTAL                                   ,                              ,          ,0,15,30,344186
AAYDEE TEXTILES,COTTON YARN,19-09-2022,0,1,2,21134
AAYDEE TEXTILES,COTTON YARN,10-09-2022,0,1,2,26880
AAYDEE TEXTILES,COTTON YARN,08-08-2022,0,2,4,53760
TOTAL                                   ,                              ,          ,0,4,8,101774
AAYUSHI EXPORTS,SPARES,10-10-2022,1,0,1,5000
TOTAL                                   ,                              ,          ,1,0,1,5000
AB MAURI INDIA P.LTD.,CARDAMOM,05-02-2022,0,1,2,18420
AB MAURI INDIA P.LTD.,CHILLI POWDER,30-05-2022,0,2,4,50500
AB MAURI INDIA P.LTD.,CHILLI POWDER,05-06-2022,1,0,1,15000
AB MAURI INDIA P.LTD.,CHILLI POWDER,30-07-2022,0,1,2,18683
AB MAURI INDIA P.LTD.,CHILLI POWDER,05-06-2022,0,2,4,36683
AB MAURI INDIA P.LTD.,CHILLI POWDER,08-06-2022,0,1,2,18683
AB MAURI INDIA P.LTD.,CHILLI POWDER,21-06-2022,0,1,2,18000
AB MAURI INDIA P.LTD.,CHILLI POWDER,02-01-2022,1,0,1,13130
AB MAURI INDIA P.LTD.,CHILLI POWDER,22-05-2022,0,2,4,49000
AB MAURI INDIA P.LTD.,CHILLI POWDER,27-05-2022,0,1,2,25000
AB MAURI INDIA P.LTD.,CHILLI POWDER,30-08-2022,0,1,2,20000
AB MAURI INDIA P.LTD.,CHILLI POWDER,05-09-2022,0,1,2,25000
AB MAURI INDIA P.LTD.,CHILLI POWDER,17-12-2022,0,1,2,24000
AB MAURI INDIA P.LTD.,CHILLI POWDER,30-12-2022,0,1,2,24000
AB MAURI INDIA P.LTD.,CHILLI POWDER,31-12-2022,0,1,2,20788
AB MAURI INDIA P.LTD.,CHILLI POWDER,08-06-2022,0,1,2,24338
AB MAURI INDIA P.LTD.,CHILLI POWDER,12-07-2022,0,1,2,24000
AB MAURI INDIA P.LTD.,CHILLI POWDER,25-07-2022,0,1,2,20865
AB MAURI INDIA P.LTD.,CHILLI POWDER,03-09-2022,1,0,1,5475
AB MAURI INDIA P.LTD.,CHILLIES,01-07-2022,0,3,6,75000
AB MAURI INDIA P.LTD.,CHILLIES,08-03-2022,0,1,2,25000
AB MAURI INDIA P.LTD.,CHILLIES,22-01-2022,1,0,1,14000
AB MAURI INDIA P.LTD.,CHILLIES,24-06-2022,0,1,2,19000
AB MAURI INDIA P.LTD.,CHILLIES,10-03-2022,0,1,2,18000
AB MAURI INDIA P.LTD.,CHILLIES,30-05-2022,0,1,2,18180
AB MAURI INDIA P.LTD.,CHILLIES,10-06-2022,0,1,2,18180
AB MAURI INDIA P.LTD.,CHILLIES,30-07-2022,1,0,1,6893
AB MAURI INDIA P.LTD.,CHILLIES,17-08-2022,0,1,2,18180
AB MAURI INDIA P.LTD.,CHILLIES,28-08-2022,0,1,2,18000
AB MAURI INDIA P.LTD.,CHILLIES,16-10-2022,1,0,1,7781
AB MAURI INDIA P.LTD.,CHILLIES,26-06-2022,0,1,2,18683
AB MAURI INDIA P.LTD.,CHILLIES,13-07-2022,0,1,2,18000
AB MAURI INDIA P.LTD.,CHILLIES,26-06-2022,0,1,2,18000
AB MAURI INDIA P.LTD.,CHILLIES,11-06-2022,0,1,2,20000
AB MAURI INDIA P.LTD.,CHILLIES,02-07-2022,0,2,4,38000
